movement_id,product_id,warehouse_id,movement_at,movement_type,quantity_change,purchase_order_line_id,transfer_id
M00000001,IP00117,W010,2023-10-26,receipt,51,POL0000001,
M00000002,IP01414,W012,2025-04-25,receipt,484,POL0000002,
M00000003,IP02164,W012,2025-04-25,receipt,326,POL0000003,
M00000004,IP00664,W012,2025-04-25,receipt,85,POL0000004,
M00000005,IP02414,W012,2025-04-25,receipt,339,POL0000005,
M00000006,IP00414,W012,2025-04-25,receipt,503,POL0000006,
M00000007,IP00135,W002,2025-02-13,receipt,505,POL0000007,
M00000008,IP01135,W002,2025-02-13,receipt,145,POL0000008,
M00000009,IP01385,W002,2025-02-13,receipt,48,POL0000009,
M00000010,IP02135,W002,2025-02-13,receipt,360,POL0000010,
M00000011,IP02186,W006,2023-09-01,receipt,72,POL0000011,
M00000012,IP01436,W006,2023-09-01,receipt,242,POL0000012,
M00000013,IP00186,W006,2023-09-01,receipt,36,POL0000013,
M00000014,IP01936,W006,2023-09-01,receipt,494,POL0000014,
M00000015,IP02436,W006,2023-09-01,receipt,327,POL0000015,
M00000016,IP00950,W005,2023-06-17,receipt,259,POL0000019,
M00000017,IP01200,W005,2023-06-17,receipt,239,POL0000020,
M00000018,IP02450,W005,2023-06-17,receipt,554,POL0000021,
M00000019,IP01950,W005,2023-06-17,receipt,554,POL0000022,
M00000020,IP01450,W005,2023-06-17,receipt,44,POL0000023,
M00000021,IP01948,W005,2023-11-05,receipt,134,POL0000024,
M00000022,IP01698,W005,2023-11-05,receipt,230,POL0000025,
M00000023,IP00198,W005,2023-11-05,receipt,563,POL0000026,
M00000024,IP01016,W005,2025-03-28,receipt,211,POL0000027,
M00000025,IP01843,W010,2024-06-22,receipt,57,POL0000028,
M00000026,IP00343,W010,2024-06-22,receipt,197,POL0000029,
M00000027,IP01343,W010,2024-06-22,receipt,531,POL0000030,
M00000028,IP00593,W010,2024-06-22,receipt,83,POL0000031,
M00000029,IP00093,W010,2024-06-22,receipt,436,POL0000032,
M00000030,IP02220,W012,2024-03-13,receipt,309,POL0000033,
M00000031,IP00505,W005,2023-05-08,receipt,204,POL0000034,
M00000032,IP02124,W006,2023-06-13,receipt,194,POL0000035,
M00000033,IP01374,W006,2023-06-13,receipt,98,POL0000036,
M00000034,IP01124,W006,2023-06-13,receipt,121,POL0000037,
M00000035,IP02374,W006,2023-06-13,receipt,566,POL0000038,
M00000036,IP00124,W006,2023-06-13,receipt,373,POL0000039,
M00000037,IP01933,W002,2025-06-18,receipt,121,POL0000040,
M00000038,IP00933,W002,2025-06-18,receipt,499,POL0000041,
M00000039,IP00661,W007,2024-08-19,receipt,109,POL0000042,
M00000040,IP01347,W012,2025-06-10,receipt,459,POL0000043,
M00000041,IP01597,W012,2025-06-10,receipt,76,POL0000044,
M00000042,IP02097,W012,2025-06-10,receipt,52,POL0000045,
M00000043,IP00847,W012,2025-06-10,receipt,74,POL0000046,
M00000044,IP00911,W008,2024-08-04,receipt,316,POL0000052,
M00000045,IP01504,W001,2024-07-09,receipt,347,POL0000053,
M00000046,IP01754,W001,2024-07-09,receipt,572,POL0000054,
M00000047,IP00254,W001,2024-07-09,receipt,210,POL0000055,
M00000048,IP00004,W001,2024-07-09,receipt,564,POL0000056,
M00000049,IP02024,W006,2024-07-11,receipt,557,POL0000057,
M00000050,IP01024,W006,2024-07-11,receipt,219,POL0000058,
M00000051,IP00774,W006,2024-07-11,receipt,123,POL0000059,
M00000052,IP00639,W001,2025-01-12,receipt,554,POL0000060,
M00000053,IP02232,W012,2025-03-10,receipt,508,POL0000063,
M00000054,IP00732,W012,2025-03-10,receipt,330,POL0000064,
M00000055,IP00925,W004,2024-05-09,receipt,359,POL0000065,
M00000056,IP00175,W004,2024-05-09,receipt,20,POL0000066,
M00000057,IP00425,W004,2024-05-09,receipt,494,POL0000067,
M00000058,IP00955,W001,2023-05-26,receipt,32,POL0000068,
M00000059,IP01455,W001,2023-05-26,receipt,445,POL0000069,
M00000060,IP00455,W001,2023-05-26,receipt,185,POL0000070,
M00000061,IP02205,W001,2023-05-26,receipt,481,POL0000071,
M00000062,IP02378,W010,2023-08-13,receipt,404,POL0000072,
M00000063,IP01128,W010,2023-08-13,receipt,112,POL0000073,
M00000064,IP00628,W010,2023-08-13,receipt,375,POL0000074,
M00000065,IP01466,W003,2023-10-02,receipt,503,POL0000075,
M00000066,IP01745,W009,2024-12-02,receipt,524,POL0000076,
M00000067,IP02068,W009,2023-12-21,receipt,161,POL0000081,
M00000068,IP01568,W009,2023-12-21,receipt,368,POL0000082,
M00000069,IP01068,W009,2023-12-21,receipt,310,POL0000083,
M00000070,IP00130,W010,2024-11-21,receipt,422,POL0000084,
M00000071,IP01130,W010,2024-11-21,receipt,456,POL0000085,
M00000072,IP00630,W010,2024-11-21,receipt,454,POL0000086,
M00000073,IP02130,W010,2024-11-21,receipt,539,POL0000087,
M00000074,IP01380,W010,2024-11-21,receipt,264,POL0000088,
M00000075,IP00004,W007,2023-10-18,receipt,446,POL0000089,
M00000076,IP00504,W007,2023-10-18,receipt,139,POL0000090,
M00000077,IP01504,W007,2023-10-18,receipt,306,POL0000091,
M00000078,IP01004,W007,2023-10-18,receipt,164,POL0000092,
M00000079,IP01754,W007,2023-10-18,receipt,103,POL0000093,
M00000080,IP00871,W012,2025-12-06,receipt,283,POL0000094,
M00000081,IP02371,W012,2025-12-06,receipt,98,POL0000095,
