opening_balance_id,product_id,warehouse_id,balance_date,opening_units
IP00001-W001,IP00001,W001,2023-01-01,446
IP00001-W002,IP00001,W002,2023-01-01,171
IP00001-W003,IP00001,W003,2023-01-01,377
IP00001-W004,IP00001,W004,2023-01-01,338
IP00001-W005,IP00001,W005,2023-01-01,149
IP00001-W006,IP00001,W006,2023-01-01,174
IP00001-W007,IP00001,W007,2023-01-01,429
IP00001-W008,IP00001,W008,2023-01-01,381
IP00001-W009,IP00001,W009,2023-01-01,290
IP00001-W010,IP00001,W010,2023-01-01,253
IP00001-W011,IP00001,W011,2023-01-01,421
IP00001-W012,IP00001,W012,2023-01-01,163
IP00002-W001,IP00002,W001,2023-01-01,92
IP00002-W002,IP00002,W002,2023-01-01,239
IP00002-W003,IP00002,W003,2023-01-01,303
IP00002-W004,IP00002,W004,2023-01-01,334
IP00002-W005,IP00002,W005,2023-01-01,245
IP00002-W006,IP00002,W006,2023-01-01,416
IP00002-W007,IP00002,W007,2023-01-01,314
IP00002-W008,IP00002,W008,2023-01-01,129
IP00002-W009,IP00002,W009,2023-01-01,79
IP00002-W010,IP00002,W010,2023-01-01,264
IP00002-W011,IP00002,W011,2023-01-01,379
IP00002-W012,IP00002,W012,2023-01-01,431
IP00003-W001,IP00003,W001,2023-01-01,303
IP00003-W002,IP00003,W002,2023-01-01,298
IP00003-W003,IP00003,W003,2023-01-01,332
IP00003-W004,IP00003,W004,2023-01-01,263
IP00003-W005,IP00003,W005,2023-01-01,192
IP00003-W006,IP00003,W006,2023-01-01,84
IP00003-W007,IP00003,W007,2023-01-01,436
IP00003-W008,IP00003,W008,2023-01-01,164
IP00003-W009,IP00003,W009,2023-01-01,204
IP00003-W010,IP00003,W010,2023-01-01,85
IP00003-W011,IP00003,W011,2023-01-01,358
IP00003-W012,IP00003,W012,2023-01-01,210
IP00004-W001,IP00004,W001,2023-01-01,269
IP00004-W002,IP00004,W002,2023-01-01,330
IP00004-W003,IP00004,W003,2023-01-01,360
IP00004-W004,IP00004,W004,2023-01-01,445
IP00004-W005,IP00004,W005,2023-01-01,249
IP00004-W006,IP00004,W006,2023-01-01,263
IP00004-W007,IP00004,W007,2023-01-01,315
IP00004-W008,IP00004,W008,2023-01-01,275
IP00004-W009,IP00004,W009,2023-01-01,181
IP00004-W010,IP00004,W010,2023-01-01,125
IP00004-W011,IP00004,W011,2023-01-01,75
IP00004-W012,IP00004,W012,2023-01-01,235
IP00005-W001,IP00005,W001,2023-01-01,78
IP00005-W002,IP00005,W002,2023-01-01,299
IP00005-W003,IP00005,W003,2023-01-01,377
IP00005-W004,IP00005,W004,2023-01-01,270
IP00005-W005,IP00005,W005,2023-01-01,260
IP00005-W006,IP00005,W006,2023-01-01,360
IP00005-W007,IP00005,W007,2023-01-01,349
IP00005-W008,IP00005,W008,2023-01-01,236
IP00005-W009,IP00005,W009,2023-01-01,449
IP00005-W010,IP00005,W010,2023-01-01,109
IP00005-W011,IP00005,W011,2023-01-01,338
IP00005-W012,IP00005,W012,2023-01-01,333
IP00006-W001,IP00006,W001,2023-01-01,253
IP00006-W002,IP00006,W002,2023-01-01,292
IP00006-W003,IP00006,W003,2023-01-01,354
IP00006-W004,IP00006,W004,2023-01-01,407
IP00006-W005,IP00006,W005,2023-01-01,98
IP00006-W006,IP00006,W006,2023-01-01,305
IP00006-W007,IP00006,W007,2023-01-01,190
IP00006-W008,IP00006,W008,2023-01-01,370
IP00006-W009,IP00006,W009,2023-01-01,185
IP00006-W010,IP00006,W010,2023-01-01,85
IP00006-W011,IP00006,W011,2023-01-01,410
IP00006-W012,IP00006,W012,2023-01-01,366
IP00007-W001,IP00007,W001,2023-01-01,196
IP00007-W002,IP00007,W002,2023-01-01,112
IP00007-W003,IP00007,W003,2023-01-01,117
IP00007-W004,IP00007,W004,2023-01-01,394
IP00007-W005,IP00007,W005,2023-01-01,146
IP00007-W006,IP00007,W006,2023-01-01,356
IP00007-W007,IP00007,W007,2023-01-01,271
IP00007-W008,IP00007,W008,2023-01-01,196
IP00007-W009,IP00007,W009,2023-01-01,246
IP00007-W010,IP00007,W010,2023-01-01,205
IP00007-W011,IP00007,W011,2023-01-01,83
IP00007-W012,IP00007,W012,2023-01-01,427
IP00008-W001,IP00008,W001,2023-01-01,387
IP00008-W002,IP00008,W002,2023-01-01,348
IP00008-W003,IP00008,W003,2023-01-01,240
IP00008-W004,IP00008,W004,2023-01-01,373
IP00008-W005,IP00008,W005,2023-01-01,227
IP00008-W006,IP00008,W006,2023-01-01,286
IP00008-W007,IP00008,W007,2023-01-01,362
IP00008-W008,IP00008,W008,2023-01-01,344
IP00008-W009,IP00008,W009,2023-01-01,443
IP00008-W010,IP00008,W010,2023-01-01,316
IP00008-W011,IP00008,W011,2023-01-01,244
IP00008-W012,IP00008,W012,2023-01-01,299
IP00009-W001,IP00009,W001,2023-01-01,342
IP00009-W002,IP00009,W002,2023-01-01,160
IP00009-W003,IP00009,W003,2023-01-01,282
IP00009-W004,IP00009,W004,2023-01-01,251
IP00009-W005,IP00009,W005,2023-01-01,385
IP00009-W006,IP00009,W006,2023-01-01,149
IP00009-W007,IP00009,W007,2023-01-01,243
IP00009-W008,IP00009,W008,2023-01-01,203
IP00009-W009,IP00009,W009,2023-01-01,107
IP00009-W010,IP00009,W010,2023-01-01,343
IP00009-W011,IP00009,W011,2023-01-01,254
IP00009-W012,IP00009,W012,2023-01-01,359
IP00010-W001,IP00010,W001,2023-01-01,269
IP00010-W002,IP00010,W002,2023-01-01,161
IP00010-W003,IP00010,W003,2023-01-01,155
IP00010-W004,IP00010,W004,2023-01-01,385
IP00010-W005,IP00010,W005,2023-01-01,441
IP00010-W006,IP00010,W006,2023-01-01,153
IP00010-W007,IP00010,W007,2023-01-01,164
IP00010-W008,IP00010,W008,2023-01-01,301
IP00010-W009,IP00010,W009,2023-01-01,257
IP00010-W010,IP00010,W010,2023-01-01,391
IP00010-W011,IP00010,W011,2023-01-01,99
IP00010-W012,IP00010,W012,2023-01-01,233
IP00011-W001,IP00011,W001,2023-01-01,97
IP00011-W002,IP00011,W002,2023-01-01,424
IP00011-W003,IP00011,W003,2023-01-01,360
IP00011-W004,IP00011,W004,2023-01-01,422
IP00011-W005,IP00011,W005,2023-01-01,133
IP00011-W006,IP00011,W006,2023-01-01,137
IP00011-W007,IP00011,W007,2023-01-01,272
IP00011-W008,IP00011,W008,2023-01-01,174
IP00011-W009,IP00011,W009,2023-01-01,98
IP00011-W010,IP00011,W010,2023-01-01,119
IP00011-W011,IP00011,W011,2023-01-01,274
IP00011-W012,IP00011,W012,2023-01-01,77
IP00012-W001,IP00012,W001,2023-01-01,302
IP00012-W002,IP00012,W002,2023-01-01,153
IP00012-W003,IP00012,W003,2023-01-01,85
IP00012-W004,IP00012,W004,2023-01-01,223
IP00012-W005,IP00012,W005,2023-01-01,246
IP00012-W006,IP00012,W006,2023-01-01,287
IP00012-W007,IP00012,W007,2023-01-01,334
IP00012-W008,IP00012,W008,2023-01-01,194
IP00012-W009,IP00012,W009,2023-01-01,158
IP00012-W010,IP00012,W010,2023-01-01,253
IP00012-W011,IP00012,W011,2023-01-01,117
IP00012-W012,IP00012,W012,2023-01-01,356
IP00013-W001,IP00013,W001,2023-01-01,388
IP00013-W002,IP00013,W002,2023-01-01,112
IP00013-W003,IP00013,W003,2023-01-01,356
IP00013-W004,IP00013,W004,2023-01-01,322
IP00013-W005,IP00013,W005,2023-01-01,135
IP00013-W006,IP00013,W006,2023-01-01,282
IP00013-W007,IP00013,W007,2023-01-01,291
IP00013-W008,IP00013,W008,2023-01-01,294
IP00013-W009,IP00013,W009,2023-01-01,407
IP00013-W010,IP00013,W010,2023-01-01,404
IP00013-W011,IP00013,W011,2023-01-01,419
IP00013-W012,IP00013,W012,2023-01-01,332
IP00014-W001,IP00014,W001,2023-01-01,306
IP00014-W002,IP00014,W002,2023-01-01,121
IP00014-W003,IP00014,W003,2023-01-01,273
IP00014-W004,IP00014,W004,2023-01-01,160
IP00014-W005,IP00014,W005,2023-01-01,241
IP00014-W006,IP00014,W006,2023-01-01,256
IP00014-W007,IP00014,W007,2023-01-01,112
IP00014-W008,IP00014,W008,2023-01-01,177
IP00014-W009,IP00014,W009,2023-01-01,428
IP00014-W010,IP00014,W010,2023-01-01,224
IP00014-W011,IP00014,W011,2023-01-01,110
IP00014-W012,IP00014,W012,2023-01-01,204
IP00015-W001,IP00015,W001,2023-01-01,391
IP00015-W002,IP00015,W002,2023-01-01,268
IP00015-W003,IP00015,W003,2023-01-01,256
IP00015-W004,IP00015,W004,2023-01-01,421
IP00015-W005,IP00015,W005,2023-01-01,237
IP00015-W006,IP00015,W006,2023-01-01,318
IP00015-W007,IP00015,W007,2023-01-01,204
IP00015-W008,IP00015,W008,2023-01-01,285
IP00015-W009,IP00015,W009,2023-01-01,202
IP00015-W010,IP00015,W010,2023-01-01,168
IP00015-W011,IP00015,W011,2023-01-01,333
IP00015-W012,IP00015,W012,2023-01-01,372
IP00016-W001,IP00016,W001,2023-01-01,284
IP00016-W002,IP00016,W002,2023-01-01,210
IP00016-W003,IP00016,W003,2023-01-01,249
IP00016-W004,IP00016,W004,2023-01-01,86
IP00016-W005,IP00016,W005,2023-01-01,413
IP00016-W006,IP00016,W006,2023-01-01,318
IP00016-W007,IP00016,W007,2023-01-01,437
IP00016-W008,IP00016,W008,2023-01-01,244
IP00016-W009,IP00016,W009,2023-01-01,136
IP00016-W010,IP00016,W010,2023-01-01,393
IP00016-W011,IP00016,W011,2023-01-01,215
IP00016-W012,IP00016,W012,2023-01-01,90
IP00017-W001,IP00017,W001,2023-01-01,404
IP00017-W002,IP00017,W002,2023-01-01,214
IP00017-W003,IP00017,W003,2023-01-01,449
IP00017-W004,IP00017,W004,2023-01-01,177
IP00017-W005,IP00017,W005,2023-01-01,82
IP00017-W006,IP00017,W006,2023-01-01,241
IP00017-W007,IP00017,W007,2023-01-01,188
IP00017-W008,IP00017,W008,2023-01-01,104
IP00017-W009,IP00017,W009,2023-01-01,340
IP00017-W010,IP00017,W010,2023-01-01,193
IP00017-W011,IP00017,W011,2023-01-01,167
IP00017-W012,IP00017,W012,2023-01-01,119
IP00018-W001,IP00018,W001,2023-01-01,274
IP00018-W002,IP00018,W002,2023-01-01,298
IP00018-W003,IP00018,W003,2023-01-01,315
IP00018-W004,IP00018,W004,2023-01-01,159
IP00018-W005,IP00018,W005,2023-01-01,352
IP00018-W006,IP00018,W006,2023-01-01,214
IP00018-W007,IP00018,W007,2023-01-01,220
IP00018-W008,IP00018,W008,2023-01-01,76
IP00018-W009,IP00018,W009,2023-01-01,389
IP00018-W010,IP00018,W010,2023-01-01,309
IP00018-W011,IP00018,W011,2023-01-01,328
IP00018-W012,IP00018,W012,2023-01-01,404
IP00019-W001,IP00019,W001,2023-01-01,205
IP00019-W002,IP00019,W002,2023-01-01,81
IP00019-W003,IP00019,W003,2023-01-01,342
IP00019-W004,IP00019,W004,2023-01-01,93
IP00019-W005,IP00019,W005,2023-01-01,321
IP00019-W006,IP00019,W006,2023-01-01,189
IP00019-W007,IP00019,W007,2023-01-01,382
IP00019-W008,IP00019,W008,2023-01-01,317
IP00019-W009,IP00019,W009,2023-01-01,426
IP00019-W010,IP00019,W010,2023-01-01,409
IP00019-W011,IP00019,W011,2023-01-01,119
IP00019-W012,IP00019,W012,2023-01-01,144
IP00020-W001,IP00020,W001,2023-01-01,290
IP00020-W002,IP00020,W002,2023-01-01,354
IP00020-W003,IP00020,W003,2023-01-01,242
IP00020-W004,IP00020,W004,2023-01-01,155
IP00020-W005,IP00020,W005,2023-01-01,356
IP00020-W006,IP00020,W006,2023-01-01,158
IP00020-W007,IP00020,W007,2023-01-01,266
IP00020-W008,IP00020,W008,2023-01-01,145
IP00020-W009,IP00020,W009,2023-01-01,373
IP00020-W010,IP00020,W010,2023-01-01,381
IP00020-W011,IP00020,W011,2023-01-01,99
IP00020-W012,IP00020,W012,2023-01-01,426
IP00021-W001,IP00021,W001,2023-01-01,127
IP00021-W002,IP00021,W002,2023-01-01,378
IP00021-W003,IP00021,W003,2023-01-01,296
IP00021-W004,IP00021,W004,2023-01-01,144
IP00021-W005,IP00021,W005,2023-01-01,296
IP00021-W006,IP00021,W006,2023-01-01,282
IP00021-W007,IP00021,W007,2023-01-01,382
IP00021-W008,IP00021,W008,2023-01-01,395
IP00021-W009,IP00021,W009,2023-01-01,169
IP00021-W010,IP00021,W010,2023-01-01,224
IP00021-W011,IP00021,W011,2023-01-01,153
IP00021-W012,IP00021,W012,2023-01-01,407
IP00022-W001,IP00022,W001,2023-01-01,204
IP00022-W002,IP00022,W002,2023-01-01,233
IP00022-W003,IP00022,W003,2023-01-01,295
IP00022-W004,IP00022,W004,2023-01-01,441
IP00022-W005,IP00022,W005,2023-01-01,364
IP00022-W006,IP00022,W006,2023-01-01,277
IP00022-W007,IP00022,W007,2023-01-01,356
IP00022-W008,IP00022,W008,2023-01-01,384
IP00022-W009,IP00022,W009,2023-01-01,443
IP00022-W010,IP00022,W010,2023-01-01,127
IP00022-W011,IP00022,W011,2023-01-01,231
IP00022-W012,IP00022,W012,2023-01-01,297
IP00023-W001,IP00023,W001,2023-01-01,281
IP00023-W002,IP00023,W002,2023-01-01,187
IP00023-W003,IP00023,W003,2023-01-01,156
IP00023-W004,IP00023,W004,2023-01-01,280
IP00023-W005,IP00023,W005,2023-01-01,257
IP00023-W006,IP00023,W006,2023-01-01,313
IP00023-W007,IP00023,W007,2023-01-01,313
IP00023-W008,IP00023,W008,2023-01-01,382
IP00023-W009,IP00023,W009,2023-01-01,149
IP00023-W010,IP00023,W010,2023-01-01,87
IP00023-W011,IP00023,W011,2023-01-01,191
IP00023-W012,IP00023,W012,2023-01-01,336
IP00024-W001,IP00024,W001,2023-01-01,177
IP00024-W002,IP00024,W002,2023-01-01,354
IP00024-W003,IP00024,W003,2023-01-01,323
IP00024-W004,IP00024,W004,2023-01-01,291
IP00024-W005,IP00024,W005,2023-01-01,231
IP00024-W006,IP00024,W006,2023-01-01,100
IP00024-W007,IP00024,W007,2023-01-01,339
IP00024-W008,IP00024,W008,2023-01-01,128
IP00024-W009,IP00024,W009,2023-01-01,190
IP00024-W010,IP00024,W010,2023-01-01,211
IP00024-W011,IP00024,W011,2023-01-01,337
IP00024-W012,IP00024,W012,2023-01-01,149
IP00025-W001,IP00025,W001,2023-01-01,290
IP00025-W002,IP00025,W002,2023-01-01,217
IP00025-W003,IP00025,W003,2023-01-01,78
IP00025-W004,IP00025,W004,2023-01-01,163
IP00025-W005,IP00025,W005,2023-01-01,100
IP00025-W006,IP00025,W006,2023-01-01,99
IP00025-W007,IP00025,W007,2023-01-01,388
IP00025-W008,IP00025,W008,2023-01-01,370
IP00025-W009,IP00025,W009,2023-01-01,334
IP00025-W010,IP00025,W010,2023-01-01,394
IP00025-W011,IP00025,W011,2023-01-01,202
IP00025-W012,IP00025,W012,2023-01-01,439
IP00026-W001,IP00026,W001,2023-01-01,220
IP00026-W002,IP00026,W002,2023-01-01,168
IP00026-W003,IP00026,W003,2023-01-01,93
IP00026-W004,IP00026,W004,2023-01-01,166
IP00026-W005,IP00026,W005,2023-01-01,133
IP00026-W006,IP00026,W006,2023-01-01,370
IP00026-W007,IP00026,W007,2023-01-01,210
IP00026-W008,IP00026,W008,2023-01-01,295
IP00026-W009,IP00026,W009,2023-01-01,245
IP00026-W010,IP00026,W010,2023-01-01,333
IP00026-W011,IP00026,W011,2023-01-01,339
IP00026-W012,IP00026,W012,2023-01-01,264
IP00027-W001,IP00027,W001,2023-01-01,179
IP00027-W002,IP00027,W002,2023-01-01,280
IP00027-W003,IP00027,W003,2023-01-01,380
IP00027-W004,IP00027,W004,2023-01-01,218
IP00027-W005,IP00027,W005,2023-01-01,231
IP00027-W006,IP00027,W006,2023-01-01,180
IP00027-W007,IP00027,W007,2023-01-01,375
IP00027-W008,IP00027,W008,2023-01-01,360
IP00027-W009,IP00027,W009,2023-01-01,134
IP00027-W010,IP00027,W010,2023-01-01,128
IP00027-W011,IP00027,W011,2023-01-01,181
IP00027-W012,IP00027,W012,2023-01-01,343
IP00028-W001,IP00028,W001,2023-01-01,408
IP00028-W002,IP00028,W002,2023-01-01,81
IP00028-W003,IP00028,W003,2023-01-01,221
IP00028-W004,IP00028,W004,2023-01-01,331
IP00028-W005,IP00028,W005,2023-01-01,214
IP00028-W006,IP00028,W006,2023-01-01,162
IP00028-W007,IP00028,W007,2023-01-01,196
IP00028-W008,IP00028,W008,2023-01-01,174
IP00028-W009,IP00028,W009,2023-01-01,414
IP00028-W010,IP00028,W010,2023-01-01,350
IP00028-W011,IP00028,W011,2023-01-01,313
IP00028-W012,IP00028,W012,2023-01-01,246
IP00029-W001,IP00029,W001,2023-01-01,281
IP00029-W002,IP00029,W002,2023-01-01,83
IP00029-W003,IP00029,W003,2023-01-01,75
IP00029-W004,IP00029,W004,2023-01-01,125
IP00029-W005,IP00029,W005,2023-01-01,295
IP00029-W006,IP00029,W006,2023-01-01,364
IP00029-W007,IP00029,W007,2023-01-01,243
IP00029-W008,IP00029,W008,2023-01-01,387
IP00029-W009,IP00029,W009,2023-01-01,364
IP00029-W010,IP00029,W010,2023-01-01,382
IP00029-W011,IP00029,W011,2023-01-01,384
IP00029-W012,IP00029,W012,2023-01-01,245
IP00030-W001,IP00030,W001,2023-01-01,136
IP00030-W002,IP00030,W002,2023-01-01,146
IP00030-W003,IP00030,W003,2023-01-01,303
IP00030-W004,IP00030,W004,2023-01-01,437
IP00030-W005,IP00030,W005,2023-01-01,196
IP00030-W006,IP00030,W006,2023-01-01,197
IP00030-W007,IP00030,W007,2023-01-01,192
IP00030-W008,IP00030,W008,2023-01-01,105
IP00030-W009,IP00030,W009,2023-01-01,303
IP00030-W010,IP00030,W010,2023-01-01,125
IP00030-W011,IP00030,W011,2023-01-01,311
IP00030-W012,IP00030,W012,2023-01-01,100
IP00031-W001,IP00031,W001,2023-01-01,294
IP00031-W002,IP00031,W002,2023-01-01,362
IP00031-W003,IP00031,W003,2023-01-01,139
IP00031-W004,IP00031,W004,2023-01-01,279
IP00031-W005,IP00031,W005,2023-01-01,267
IP00031-W006,IP00031,W006,2023-01-01,269
IP00031-W007,IP00031,W007,2023-01-01,353
IP00031-W008,IP00031,W008,2023-01-01,450
IP00031-W009,IP00031,W009,2023-01-01,127
IP00031-W010,IP00031,W010,2023-01-01,87
IP00031-W011,IP00031,W011,2023-01-01,80
IP00031-W012,IP00031,W012,2023-01-01,170
IP00032-W001,IP00032,W001,2023-01-01,242
IP00032-W002,IP00032,W002,2023-01-01,238
IP00032-W003,IP00032,W003,2023-01-01,318
IP00032-W004,IP00032,W004,2023-01-01,302
IP00032-W005,IP00032,W005,2023-01-01,418
IP00032-W006,IP00032,W006,2023-01-01,126
IP00032-W007,IP00032,W007,2023-01-01,129
IP00032-W008,IP00032,W008,2023-01-01,178
IP00032-W009,IP00032,W009,2023-01-01,435
IP00032-W010,IP00032,W010,2023-01-01,298
IP00032-W011,IP00032,W011,2023-01-01,244
IP00032-W012,IP00032,W012,2023-01-01,79
IP00033-W001,IP00033,W001,2023-01-01,302
