product_id,supplier_id,sku,category,unit_cost,reorder_point
IP00001,SUP0001,SC-000001,components,539.77,350
IP00002,SUP0002,SC-000002,packaging,430.74,397
IP00003,SUP0003,SC-000003,finished_goods,772.73,65
IP00004,SUP0004,SC-000004,consumables,562.48,491
IP00005,SUP0005,SC-000005,spares,372.97,246
IP00006,SUP0006,SC-000006,components,201.70,247
IP00007,SUP0007,SC-000007,packaging,472.26,314
IP00008,SUP0008,SC-000008,finished_goods,738.48,472
IP00009,SUP0009,SC-000009,consumables,405.06,353
IP00010,SUP0010,SC-000010,spares,32.69,29
IP00011,SUP0011,SC-000011,components,115.10,121
IP00012,SUP0012,SC-000012,packaging,754.34,471
IP00013,SUP0013,SC-000013,finished_goods,687.06,448
IP00014,SUP0014,SC-000014,consumables,445.43,429
IP00015,SUP0015,SC-000015,spares,23.46,119
IP00016,SUP0016,SC-000016,components,764.07,376
IP00017,SUP0017,SC-000017,packaging,489.67,285
IP00018,SUP0018,SC-000018,finished_goods,129.09,175
IP00019,SUP0019,SC-000019,consumables,650.11,228
IP00020,SUP0020,SC-000020,spares,524.28,89
IP00021,SUP0021,SC-000021,components,228.39,219
IP00022,SUP0022,SC-000022,packaging,342.83,422
IP00023,SUP0023,SC-000023,finished_goods,798.44,430
IP00024,SUP0024,SC-000024,consumables,409.07,384
IP00025,SUP0025,SC-000025,spares,631.60,330
IP00026,SUP0026,SC-000026,components,588.56,494
IP00027,SUP0027,SC-000027,packaging,648.67,435
IP00028,SUP0028,SC-000028,finished_goods,584.36,73
IP00029,SUP0029,SC-000029,consumables,6.96,128
IP00030,SUP0030,SC-000030,spares,127.98,139
IP00031,SUP0031,SC-000031,components,396.96,75
IP00032,SUP0032,SC-000032,packaging,404.51,106
IP00033,SUP0033,SC-000033,finished_goods,335.33,325
IP00034,SUP0034,SC-000034,consumables,431.10,266
IP00035,SUP0035,SC-000035,spares,749.54,309
IP00036,SUP0036,SC-000036,components,246.49,280
IP00037,SUP0037,SC-000037,packaging,524.90,204
IP00038,SUP0038,SC-000038,finished_goods,428.80,84
IP00039,SUP0039,SC-000039,consumables,523.69,46
IP00040,SUP0040,SC-000040,spares,492.46,489
IP00041,SUP0041,SC-000041,components,741.60,195
IP00042,SUP0042,SC-000042,packaging,277.43,377
IP00043,SUP0043,SC-000043,finished_goods,733.06,475
IP00044,SUP0044,SC-000044,consumables,467.90,154
IP00045,SUP0045,SC-000045,spares,509.68,366
IP00046,SUP0046,SC-000046,components,24.24,237
IP00047,SUP0047,SC-000047,packaging,534.57,122
IP00048,SUP0048,SC-000048,finished_goods,618.56,421
IP00049,SUP0049,SC-000049,consumables,387.04,320
IP00050,SUP0050,SC-000050,spares,443.52,276
IP00051,SUP0051,SC-000051,components,259.03,100
IP00052,SUP0052,SC-000052,packaging,625.94,395
IP00053,SUP0053,SC-000053,finished_goods,496.93,273
IP00054,SUP0054,SC-000054,consumables,457.96,416
IP00055,SUP0055,SC-000055,spares,12.59,420
IP00056,SUP0056,SC-000056,components,279.05,313
IP00057,SUP0057,SC-000057,packaging,386.66,256
IP00058,SUP0058,SC-000058,finished_goods,71.21,73
IP00059,SUP0059,SC-000059,consumables,528.68,307
IP00060,SUP0060,SC-000060,spares,420.49,149
IP00061,SUP0061,SC-000061,components,370.12,361
IP00062,SUP0062,SC-000062,packaging,747.19,254
IP00063,SUP0063,SC-000063,finished_goods,440.48,27
IP00064,SUP0064,SC-000064,consumables,493.47,484
IP00065,SUP0065,SC-000065,spares,503.30,33
IP00066,SUP0066,SC-000066,components,63.72,102
IP00067,SUP0067,SC-000067,packaging,491.50,52
IP00068,SUP0068,SC-000068,finished_goods,87.70,335
IP00069,SUP0069,SC-000069,consumables,746.04,294
IP00070,SUP0070,SC-000070,spares,471.77,186
IP00071,SUP0071,SC-000071,components,615.09,110
IP00072,SUP0072,SC-000072,packaging,485.97,217
IP00073,SUP0073,SC-000073,finished_goods,332.49,165
IP00074,SUP0074,SC-000074,consumables,428.43,296
IP00075,SUP0075,SC-000075,spares,652.95,309
IP00076,SUP0076,SC-000076,components,90.03,45
IP00077,SUP0077,SC-000077,packaging,153.01,79
IP00078,SUP0078,SC-000078,finished_goods,360.73,485
IP00079,SUP0079,SC-000079,consumables,151.90,152
IP00080,SUP0080,SC-000080,spares,629.11,348
IP00081,SUP0081,SC-000081,components,163.89,180
IP00082,SUP0082,SC-000082,packaging,243.82,319
IP00083,SUP0083,SC-000083,finished_goods,229.90,230
IP00084,SUP0084,SC-000084,consumables,171.15,376
IP00085,SUP0085,SC-000085,spares,810.77,209
IP00086,SUP0086,SC-000086,components,435.71,365
IP00087,SUP0087,SC-000087,packaging,687.35,62
IP00088,SUP0088,SC-000088,finished_goods,775.36,208
IP00089,SUP0089,SC-000089,consumables,293.43,303
IP00090,SUP0090,SC-000090,spares,200.77,190
IP00091,SUP0091,SC-000091,components,518.01,254
IP00092,SUP0092,SC-000092,packaging,734.17,32
IP00093,SUP0093,SC-000093,finished_goods,500.34,346
IP00094,SUP0094,SC-000094,consumables,548.51,123
IP00095,SUP0095,SC-000095,spares,272.49,117
IP00096,SUP0096,SC-000096,components,442.72,368
IP00097,SUP0097,SC-000097,packaging,394.03,401
IP00098,SUP0098,SC-000098,finished_goods,382.90,462
IP00099,SUP0099,SC-000099,consumables,377.81,320
IP00100,SUP0100,SC-000100,spares,77.18,368
IP00101,SUP0101,SC-000101,components,278.38,199
IP00102,SUP0102,SC-000102,packaging,128.00,191
IP00103,SUP0103,SC-000103,finished_goods,551.16,409
IP00104,SUP0104,SC-000104,consumables,188.37,357
IP00105,SUP0105,SC-000105,spares,423.66,211
IP00106,SUP0106,SC-000106,components,132.53,472
IP00107,SUP0107,SC-000107,packaging,437.75,129
IP00108,SUP0108,SC-000108,finished_goods,287.44,251
IP00109,SUP0109,SC-000109,consumables,1.50,26
IP00110,SUP0110,SC-000110,spares,559.34,283
IP00111,SUP0111,SC-000111,components,606.66,345
IP00112,SUP0112,SC-000112,packaging,59.03,380
IP00113,SUP0113,SC-000113,finished_goods,545.45,353
IP00114,SUP0114,SC-000114,consumables,336.61,495
IP00115,SUP0115,SC-000115,spares,400.23,189
IP00116,SUP0116,SC-000116,components,43.29,193
IP00117,SUP0117,SC-000117,packaging,782.12,203
IP00118,SUP0118,SC-000118,finished_goods,533.41,64
IP00119,SUP0119,SC-000119,consumables,591.39,470
IP00120,SUP0120,SC-000120,spares,735.69,191
IP00121,SUP0121,SC-000121,components,509.40,158
IP00122,SUP0122,SC-000122,packaging,421.29,165
IP00123,SUP0123,SC-000123,finished_goods,547.40,476
IP00124,SUP0124,SC-000124,consumables,583.91,166
IP00125,SUP0125,SC-000125,spares,66.10,216
IP00126,SUP0126,SC-000126,components,734.34,91
IP00127,SUP0127,SC-000127,packaging,377.97,104
IP00128,SUP0128,SC-000128,finished_goods,208.43,27
IP00129,SUP0129,SC-000129,consumables,525.64,490
IP00130,SUP0130,SC-000130,spares,157.96,297
IP00131,SUP0131,SC-000131,components,165.18,180
IP00132,SUP0132,SC-000132,packaging,643.41,394
IP00133,SUP0133,SC-000133,finished_goods,721.38,56
IP00134,SUP0134,SC-000134,consumables,490.52,424
IP00135,SUP0135,SC-000135,spares,452.79,262
IP00136,SUP0136,SC-000136,components,692.30,167
IP00137,SUP0137,SC-000137,packaging,426.90,341
IP00138,SUP0138,SC-000138,finished_goods,696.27,345
IP00139,SUP0139,SC-000139,consumables,640.70,264
IP00140,SUP0140,SC-000140,spares,305.70,204
IP00141,SUP0141,SC-000141,components,694.61,395
IP00142,SUP0142,SC-000142,packaging,305.82,399
IP00143,SUP0143,SC-000143,finished_goods,451.10,64
IP00144,SUP0144,SC-000144,consumables,316.46,89
IP00145,SUP0145,SC-000145,spares,704.01,108
IP00146,SUP0146,SC-000146,components,90.61,258
IP00147,SUP0147,SC-000147,packaging,598.71,295
IP00148,SUP0148,SC-000148,finished_goods,706.58,54
IP00149,SUP0149,SC-000149,consumables,778.20,289
IP00150,SUP0150,SC-000150,spares,340.96,278
IP00151,SUP0151,SC-000151,components,601.58,202
IP00152,SUP0152,SC-000152,packaging,480.99,395
IP00153,SUP0153,SC-000153,finished_goods,423.26,241
IP00154,SUP0154,SC-000154,consumables,334.09,349
IP00155,SUP0155,SC-000155,spares,735.51,341
IP00156,SUP0156,SC-000156,components,326.81,307
IP00157,SUP0157,SC-000157,packaging,614.70,381
IP00158,SUP0158,SC-000158,finished_goods,124.94,100
IP00159,SUP0159,SC-000159,consumables,841.04,383
IP00160,SUP0160,SC-000160,spares,62.78,111
IP00161,SUP0161,SC-000161,components,758.01,61
IP00162,SUP0162,SC-000162,packaging,299.51,328
IP00163,SUP0163,SC-000163,finished_goods,445.40,319
IP00164,SUP0164,SC-000164,consumables,749.35,27
IP00165,SUP0165,SC-000165,spares,508.54,412
IP00166,SUP0166,SC-000166,components,211.76,169
IP00167,SUP0167,SC-000167,packaging,108.63,156
IP00168,SUP0168,SC-000168,finished_goods,339.62,459
IP00169,SUP0169,SC-000169,consumables,527.96,422
IP00170,SUP0170,SC-000170,spares,348.78,295
