purchase_order_line_id,purchase_order_id,product_id,quantity_ordered,quantity_received,unit_cost
POL0000001,PO000001,IP00117,130,51,766.23
POL0000002,PO000002,IP01414,484,484,184.48
POL0000003,PO000002,IP02164,326,326,254.58
POL0000004,PO000002,IP00664,85,85,127.93
POL0000005,PO000002,IP02414,339,339,284.95
POL0000006,PO000002,IP00414,503,503,633.41
POL0000007,PO000003,IP00135,505,505,437.31
POL0000008,PO000003,IP01135,145,145,466.65
POL0000009,PO000003,IP01385,48,48,119.06
POL0000010,PO000003,IP02135,360,360,77.43
POL0000011,PO000004,IP02186,72,72,251.12
POL0000012,PO000004,IP01436,242,242,9.38
POL0000013,PO000004,IP00186,36,36,837.07
POL0000014,PO000004,IP01936,494,494,320.57
POL0000015,PO000004,IP02436,327,327,389.18
POL0000016,PO000005,IP00631,234,0,38.91
POL0000017,PO000005,IP01881,494,0,518.53
POL0000018,PO000005,IP00381,346,0,642.27
POL0000019,PO000006,IP00950,259,259,572.76
POL0000020,PO000006,IP01200,239,239,815.34
POL0000021,PO000006,IP02450,554,554,311.45
POL0000022,PO000006,IP01950,554,554,659.31
POL0000023,PO000006,IP01450,44,44,246.83
POL0000024,PO000007,IP01948,134,134,2.51
POL0000025,PO000007,IP01698,230,230,465.78
POL0000026,PO000007,IP00198,563,563,606.2
POL0000027,PO000008,IP01016,211,211,243.69
POL0000028,PO000009,IP01843,57,57,17.58
POL0000029,PO000009,IP00343,197,197,798.13
POL0000030,PO000009,IP01343,531,531,747.1
POL0000031,PO000009,IP00593,83,83,550.21
POL0000032,PO000009,IP00093,436,436,489.45
POL0000033,PO000010,IP02220,309,309,437.59
POL0000034,PO000011,IP00505,204,204,775.37
POL0000035,PO000012,IP02124,194,194,738.23
POL0000036,PO000012,IP01374,98,98,362.94
POL0000037,PO000012,IP01124,121,121,51.32
POL0000038,PO000012,IP02374,566,566,470.47
POL0000039,PO000012,IP00124,373,373,595.01
POL0000040,PO000013,IP01933,121,121,603.23
POL0000041,PO000013,IP00933,499,499,34.49
POL0000042,PO000014,IP00661,109,109,459.27
POL0000043,PO000015,IP01347,467,459,579.57
POL0000044,PO000015,IP01597,80,76,497.52
POL0000045,PO000015,IP02097,224,52,640.28
POL0000046,PO000015,IP00847,208,74,13.56
POL0000047,PO000016,IP00791,339,0,345.65
POL0000048,PO000016,IP02291,215,0,419.44
POL0000049,PO000016,IP01291,402,0,30.09
POL0000050,PO000016,IP01041,122,0,795.6
POL0000051,PO000016,IP01791,107,0,826.94
POL0000052,PO000017,IP00911,316,316,155.59
POL0000053,PO000018,IP01504,347,347,555.47
POL0000054,PO000018,IP01754,572,572,644.13
POL0000055,PO000018,IP00254,210,210,214.68
POL0000056,PO000018,IP00004,564,564,576.19
POL0000057,PO000019,IP02024,557,557,162.57
POL0000058,PO000019,IP01024,219,219,485.56
POL0000059,PO000019,IP00774,123,123,205.86
POL0000060,PO000020,IP00639,554,554,96.48
POL0000061,PO000021,IP00307,593,0,620.83
POL0000062,PO000021,IP01307,356,0,135.73
POL0000063,PO000022,IP02232,508,508,218.42
