purchase_order_id,supplier_id,warehouse_id,ordered_at,expected_at,received_at,status
PO000001,SUP0117,W010,05-10-2023,25-10-2023,26-10-2023,partial
PO000002,SUP0164,W012,01-03-2025,26-04-2025,25-04-2025,received
PO000003,SUP0135,W002,17-12-2024,11-02-2025,13-02-2025,received
PO000004,SUP0186,W006,06-07-2023,25-08-2023,01-09-2023,received
PO000005,SUP0131,W007,13-12-2025,31-12-2025,,open
PO000006,SUP0200,W005,02-05-2023,18-06-2023,17-06-2023,received
PO000007,SUP0198,W005,20-09-2023,30-10-2023,05-11-2023,received
PO000008,SUP0016,W005,23-01-2025,20-03-2025,28-03-2025,received
PO000009,SUP0093,W010,18-04-2024,17-06-2024,22-06-2024,received
PO000010,SUP0220,W012,05-03-2024,15-03-2024,13-03-2024,received
PO000011,SUP0005,W005,03-04-2023,26-04-2023,08-05-2023,received
PO000012,SUP0124,W006,17-05-2023,01-06-2023,13-06-2023,received
PO000013,SUP0183,W002,05-06-2025,20-06-2025,18-06-2025,received
PO000014,SUP0161,W007,29-06-2024,20-08-2024,19-08-2024,received
PO000015,SUP0097,W012,14-05-2025,27-05-2025,10-06-2025,partial
PO000016,SUP0041,W004,04-12-2025,31-12-2025,,open
PO000017,SUP0161,W008,16-06-2024,07-08-2024,04-08-2024,received
PO000018,SUP0004,W001,25-06-2024,06-07-2024,09-07-2024,received
PO000019,SUP0024,W006,20-06-2024,30-06-2024,11-07-2024,received
PO000020,SUP0139,W001,22-12-2024,06-01-2025,12-01-2025,received
PO000021,SUP0057,W001,27-11-2025,20-12-2025,,open
PO000022,SUP0232,W012,26-02-2025,09-03-2025,10-03-2025,received
PO000023,SUP0175,W004,28-04-2024,03-05-2024,09-05-2024,received
PO000024,SUP0205,W001,21-04-2023,17-05-2023,26-05-2023,received
PO000025,SUP0128,W010,20-06-2023,04-08-2023,13-08-2023,received
PO000026,SUP0216,W003,09-08-2023,05-10-2023,02-10-2023,received
PO000027,SUP0245,W009,13-11-2024,24-11-2024,02-12-2024,received
PO000028,SUP0101,W002,02-04-2024,14-04-2024,,cancelled
PO000029,SUP0068,W009,02-12-2023,10-12-2023,21-12-2023,received
PO000030,SUP0130,W010,06-11-2024,17-11-2024,21-11-2024,received
PO000031,SUP0004,W007,30-09-2023,11-10-2023,18-10-2023,received
PO000032,SUP0121,W012,04-11-2025,06-12-2025,06-12-2025,received
PO000033,SUP0235,W003,19-06-2025,12-08-2025,21-08-2025,received
PO000034,SUP0240,W004,03-07-2025,22-07-2025,23-07-2025,received
PO000035,SUP0233,W010,27-01-2024,25-02-2024,27-02-2024,received
PO000036,SUP0014,W003,03-03-2024,18-03-2024,26-03-2024,received
PO000037,SUP0031,W004,15-04-2023,16-05-2023,29-05-2023,received
PO000038,SUP0092,W011,13-02-2025,04-04-2025,12-04-2025,received
PO000039,SUP0238,W009,03-03-2023,17-04-2023,30-04-2023,received
PO000040,SUP0158,W012,15-11-2023,01-01-2024,11-01-2024,received
PO000041,SUP0025,W002,05-09-2024,23-09-2024,03-10-2024,received
PO000042,SUP0067,W001,20-06-2024,27-07-2024,28-07-2024,received
PO000043,SUP0207,W003,16-07-2025,27-07-2025,03-08-2025,received
PO000044,SUP0078,W008,15-02-2023,26-03-2023,29-03-2023,received
PO000045,SUP0088,W006,17-12-2023,30-12-2023,31-12-2023,received
PO000046,SUP0182,W010,05-04-2024,16-05-2024,25-05-2024,received
PO000047,SUP0233,W001,13-07-2024,11-08-2024,24-08-2024,received
PO000048,SUP0056,W004,14-02-2024,29-02-2024,12-03-2024,received
PO000049,SUP0050,W006,04-05-2025,13-05-2025,23-05-2025,received
PO000050,SUP0146,W008,04-08-2024,19-09-2024,,cancelled
PO000051,SUP0101,W009,14-02-2025,26-02-2025,12-03-2025,received
PO000052,SUP0152,W007,27-06-2023,25-07-2023,26-07-2023,received
PO000053,SUP0184,W004,24-08-2024,05-10-2024,11-10-2024,partial
PO000054,SUP0221,W001,03-11-2023,10-11-2023,22-11-2023,received
PO000055,SUP0026,W006,24-10-2025,13-11-2025,12-11-2025,received
PO000056,SUP0004,W011,06-11-2025,17-11-2025,20-11-2025,received
PO000057,SUP0073,W010,06-06-2023,23-07-2023,28-07-2023,received
PO000058,SUP0225,W003,27-04-2025,06-05-2025,04-05-2025,received
PO000059,SUP0142,W004,07-04-2024,05-06-2024,06-06-2024,received
