supplier_id,supplier_name,country_code,lead_time_days,reliability_score
SUP0001,Supplier 001,CN,38,0.925
SUP0002,Supplier 002,CA,50,0.940
SUP0003,Supplier 003,US,34,0.842
SUP0004,Supplier 004,CA,11,0.973
SUP0005,Supplier 005,DE,23,0.903
SUP0006,Supplier 006,DE,37,0.953
SUP0007,Supplier 007,DE,57,0.814
SUP0008,Supplier 008,DE,31,0.837
SUP0009,Supplier 009,US,51,0.854
SUP0010,Supplier 010,PL,55,0.951
SUP0011,Supplier 011,CA,48,0.938
SUP0012,Supplier 012,US,34,0.983
SUP0013,Supplier 013,DE,22,0.975
SUP0014,Supplier 014,MX,15,0.924
SUP0015,Supplier 015,PL,19,0.786
SUP0016,Supplier 016,DE,56,0.846
SUP0017,Supplier 017,PL,49,0.823
SUP0018,Supplier 018,PL,59,0.946
SUP0019,Supplier 019,PL,11,0.974
SUP0020,Supplier 020,MX,20,0.984
SUP0021,Supplier 021,VN,6,0.972
SUP0022,Supplier 022,MX,37,0.895
SUP0023,Supplier 023,PL,49,0.821
SUP0024,Supplier 024,VN,10,0.855
SUP0025,Supplier 025,CA,18,0.849
SUP0026,Supplier 026,CN,20,0.919
SUP0027,Supplier 027,PL,38,0.965
SUP0028,Supplier 028,CA,46,0.785
SUP0029,Supplier 029,VN,30,0.991
SUP0030,Supplier 030,PL,13,0.788
SUP0031,Supplier 031,CA,31,0.959
SUP0032,Supplier 032,CA,26,0.954
SUP0033,Supplier 033,PL,53,0.901
SUP0034,Supplier 034,US,30,0.970
SUP0035,Supplier 035,DE,9,0.844
SUP0036,Supplier 036,MX,57,0.840
SUP0037,Supplier 037,MX,34,0.984
SUP0038,Supplier 038,US,28,0.893
SUP0039,Supplier 039,DE,7,0.984
SUP0040,Supplier 040,CA,5,0.844
SUP0041,Supplier 041,CA,32,0.977
SUP0042,Supplier 042,CN,20,0.919
SUP0043,Supplier 043,VN,15,0.784
SUP0044,Supplier 044,VN,58,0.949
SUP0045,Supplier 045,PL,19,0.885
SUP0046,Supplier 046,US,45,0.788
SUP0047,Supplier 047,VN,42,0.789
SUP0048,Supplier 048,MX,43,0.964
SUP0049,Supplier 049,DE,44,0.822
SUP0050,Supplier 050,PL,9,0.899
SUP0051,Supplier 051,DE,42,0.985
SUP0052,Supplier 052,US,14,0.816
SUP0053,Supplier 053,CA,35,0.971
SUP0054,Supplier 054,DE,7,0.992
SUP0055,Supplier 055,MX,25,0.813
SUP0056,Supplier 056,CN,15,0.988
SUP0057,Supplier 057,US,23,0.927
SUP0058,Supplier 058,US,9,0.837
SUP0059,Supplier 059,CA,26,0.921
SUP0060,Supplier 060,CA,13,0.865
SUP0061,Supplier 061,CA,37,0.784
SUP0062,Supplier 062,CA,53,0.908
SUP0063,Supplier 063,VN,12,0.950
SUP0064,Supplier 064,VN,42,0.864
SUP0065,Supplier 065,DE,20,0.984
SUP0066,Supplier 066,PL,50,0.803
SUP0067,Supplier 067,MX,37,0.811
SUP0068,Supplier 068,PL,8,0.919
SUP0069,Supplier 069,DE,54,0.818
SUP0070,Supplier 070,VN,35,0.897
SUP0071,Supplier 071,MX,30,0.816
SUP0072,Supplier 072,DE,44,0.832
SUP0073,Supplier 073,PL,47,0.989
SUP0074,Supplier 074,CA,46,0.946
SUP0075,Supplier 075,CN,27,0.941
SUP0076,Supplier 076,US,44,0.995
SUP0077,Supplier 077,US,16,0.922
SUP0078,Supplier 078,PL,39,0.800
SUP0079,Supplier 079,CN,31,0.810
SUP0080,Supplier 080,CA,14,0.926
SUP0081,Supplier 081,CA,23,0.803
SUP0082,Supplier 082,US,42,0.850
SUP0083,Supplier 083,US,24,0.868
SUP0084,Supplier 084,US,44,0.802
SUP0085,Supplier 085,PL,33,0.864
SUP0086,Supplier 086,CN,59,0.793
SUP0087,Supplier 087,US,21,0.836
SUP0088,Supplier 088,VN,13,0.952
SUP0089,Supplier 089,CN,26,0.889
SUP0090,Supplier 090,CN,60,0.884
SUP0091,Supplier 091,VN,23,0.886
SUP0092,Supplier 092,PL,50,0.823
SUP0093,Supplier 093,VN,60,0.965
SUP0094,Supplier 094,PL,45,0.910
SUP0095,Supplier 095,CN,22,0.830
SUP0096,Supplier 096,MX,16,0.785
SUP0097,Supplier 097,VN,13,0.949
SUP0098,Supplier 098,DE,22,0.886
SUP0099,Supplier 099,PL,58,0.922
SUP0100,Supplier 100,CN,46,0.954
SUP0101,Supplier 101,VN,12,0.864
SUP0102,Supplier 102,DE,12,0.943
SUP0103,Supplier 103,DE,31,0.927
SUP0104,Supplier 104,VN,5,0.915
SUP0105,Supplier 105,VN,28,0.816
SUP0106,Supplier 106,DE,31,0.951
SUP0107,Supplier 107,CA,22,0.984
SUP0108,Supplier 108,DE,15,0.845
SUP0109,Supplier 109,CA,6,0.851
SUP0110,Supplier 110,US,55,0.793
SUP0111,Supplier 111,MX,20,0.979
SUP0112,Supplier 112,US,47,0.788
SUP0113,Supplier 113,MX,54,0.810
SUP0114,Supplier 114,CN,47,0.822
SUP0115,Supplier 115,VN,11,0.850
SUP0116,Supplier 116,US,47,0.940
SUP0117,Supplier 117,VN,20,0.924
SUP0118,Supplier 118,US,60,0.885
SUP0119,Supplier 119,CN,24,0.814
SUP0120,Supplier 120,CN,43,0.927
SUP0121,Supplier 121,US,32,0.964
SUP0122,Supplier 122,CA,41,0.854
SUP0123,Supplier 123,CA,34,0.823
SUP0124,Supplier 124,PL,15,0.857
SUP0125,Supplier 125,MX,7,0.806
SUP0126,Supplier 126,MX,11,0.821
SUP0127,Supplier 127,DE,51,0.857
SUP0128,Supplier 128,DE,45,0.978
SUP0129,Supplier 129,CA,51,0.790
SUP0130,Supplier 130,US,11,0.832
SUP0131,Supplier 131,VN,42,0.896
SUP0132,Supplier 132,CN,10,0.984
